Energy (MeV),Trapped Fluence (cm-2 MeV-1),Solar Fluence (cm-2 MeV-1),Combined Fluence (cm-2 MeV-1)
1.0000E-01,2.7597E+10,0.0000E+00,2.7597E+10
1.5000E-01,2.2191E+10,0.0000E+00,2.2191E+10
2.0000E-01,1.7179E+10,0.0000E+00,1.7179E+10
3.0000E-01,1.0598E+10,0.0000E+00,1.0598E+10
4.0000E-01,6.7331E+09,0.0000E+00,6.7331E+09
5.0000E-01,4.2326E+09,0.0000E+00,4.2326E+09
6.0000E-01,3.2090E+09,0.0000E+00,3.2090E+09
7.0000E-01,2.5393E+09,0.0000E+00,2.5393E+09
1.0000E+00,1.4579E+09,0.0000E+00,1.4579E+09
1.5000E+00,6.9936E+08,0.0000E+00,6.9936E+08
2.0000E+00,4.4303E+08,0.0000E+00,4.4303E+08
3.0000E+00,2.1524E+08,0.0000E+00,2.1524E+08
4.0000E+00,1.2529E+08,0.0000E+00,1.2529E+08
5.0000E+00,7.5659E+07,0.0000E+00,7.5659E+07
6.0000E+00,4.8990E+07,0.0000E+00,4.8990E+07
7.0000E+00,3.1613E+07,0.0000E+00,3.1613E+07
1.0000E+01,1.6224E+07,0.0000E+00,1.6224E+07
1.5000E+01,6.3645E+06,0.0000E+00,6.3645E+06
2.0000E+01,3.7648E+06,0.0000E+00,3.7648E+06
3.0000E+01,2.4143E+06,0.0000E+00,2.4143E+06
4.0000E+01,1.9784E+06,0.0000E+00,1.9784E+06
5.0000E+01,1.8701E+06,0.0000E+00,1.8701E+06
6.0000E+01,1.8675E+06,0.0000E+00,1.8675E+06
7.0000E+01,1.7331E+06,0.0000E+00,1.7331E+06
1.0000E+02,1.2948E+06,0.0000E+00,1.2948E+06
1.5000E+02,7.4214E+05,0.0000E+00,7.4214E+05
2.0000E+02,4.0118E+05,0.0000E+00,4.0118E+05
3.0000E+02,1.3299E+05,0.0000E+00,1.3299E+05
